Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
38.000000	0.342687  	38.000000	0.348745  	38.000000	0.340192  	38.000000	0.342872  	38.000000	0.348599  	38.000000	0.000146373	
41.000000	0.323221  	41.000000	0.328484  	41.000000	0.320919  	41.000000	0.323002  	41.000000	0.328347  	41.000000	0.000136675	
44.000000	0.30615   	44.000000	0.31073   	44.000000	0.303955  	44.000000	0.305604  	44.000000	0.310602  	44.000000	0.000128234	
47.000000	0.291049  	47.000000	0.295044  	47.000000	0.288974  	47.000000	0.290237  	47.000000	0.294923  	47.000000	0.000120816	
50.000000	0.277591  	50.000000	0.281082  	50.000000	0.275593  	50.000000	0.276561  	50.000000	0.280967  	50.000000	0.000114243	
55.000000	0.25813   	55.000000	0.26093   	55.000000	0.256247  	55.000000	0.256819  	55.000000	0.260826  	55.000000	0.000104805	
60.000000	0.241632  	60.000000	0.243889  	60.000000	0.239835  	60.000000	0.240117  	60.000000	0.243792  	60.000000	9.68638e-05	
65.000000	0.227455  	65.000000	0.229285  	65.000000	0.225733  	65.000000	0.225794  	65.000000	0.229195  	65.000000	9.00858e-05	
70.000000	0.215132  	70.000000	0.216626  	70.000000	0.213457  	70.000000	0.213369  	70.000000	0.216541  	70.000000	8.42298e-05	
75.000000	0.204316  	75.000000	0.205544  	75.000000	0.202738  	75.000000	0.202483  	75.000000	0.205465  	75.000000	7.91173e-05	
80.000000	0.194739  	80.000000	0.195761  	80.000000	0.193202  	80.000000	0.192865  	80.000000	0.195686  	80.000000	7.46134e-05	
85.000000	0.186197  	85.000000	0.187058  	85.000000	0.184734  	85.000000	0.184301  	85.000000	0.186987  	85.000000	7.06143e-05	
90.000000	0.178527  	90.000000	0.179264  	90.000000	0.17714   	90.000000	0.176626  	90.000000	0.179197  	90.000000	6.70384e-05	
95.000000	0.171598  	95.000000	0.172244  	95.000000	0.170268  	95.000000	0.169707  	95.000000	0.17218   	95.000000	6.38211e-05	
100.000000	0.165305  	100.000000	0.165885  	100.000000	0.164038  	100.000000	0.163436  	100.000000	0.165824  	100.000000	6.09105e-05	
105.000000	0.159563  	105.000000	0.160099  	105.000000	0.158363  	105.000000	0.157725  	105.000000	0.160041  	105.000000	5.8264e-05	
110.000000	0.154301  	110.000000	0.15481   	110.000000	0.153172  	110.000000	0.152502  	110.000000	0.154755  	110.000000	5.58468e-05	
115.000000	0.14946   	115.000000	0.149957  	115.000000	0.148403  	115.000000	0.147706  	115.000000	0.149904  	115.000000	5.36299e-05	
120.000000	0.144989  	120.000000	0.145487  	120.000000	0.144011  	120.000000	0.143286  	120.000000	0.145436  	120.000000	5.15892e-05	
125.000000	0.140846  	125.000000	0.141357  	125.000000	0.139942  	125.000000	0.1392    	125.000000	0.141307  	125.000000	4.97041e-05	
130.000000	0.136997  	130.000000	0.137529  	130.000000	0.136157  	130.000000	0.135411  	130.000000	0.137481  	130.000000	4.79574e-05	
135.000000	0.133409  	135.000000	0.13397   	135.000000	0.132652  	135.000000	0.131888  	135.000000	0.133924  	135.000000	4.6334e-05	
140.000000	0.130057  	140.000000	0.130653  	140.000000	0.129375  	140.000000	0.128603  	140.000000	0.130609  	140.000000	4.48212e-05	
145.000000	0.126918  	145.000000	0.127555  	145.000000	0.126308  	145.000000	0.125533  	145.000000	0.127511  	145.000000	4.34079e-05	
150.000000	0.12397   	150.000000	0.124653  	150.000000	0.123447  	150.000000	0.122657  	150.000000	0.124611  	150.000000	4.20845e-05	
155.000000	0.119569  	155.000000	0.12193   	155.000000	0.120752  	155.000000	0.119957  	155.000000	0.121889  	155.000000	4.08426e-05	
160.000000	0.117134  	160.000000	0.11937   	160.000000	0.118215  	160.000000	0.117419  	160.000000	0.11933   	160.000000	3.96747e-05	
165.000000	0.114837  	165.000000	0.116958  	165.000000	0.115835  	165.000000	0.115027  	165.000000	0.11692   	165.000000	3.85744e-05	
170.000000	0.112665  	170.000000	0.114683  	170.000000	0.113582  	170.000000	0.112769  	170.000000	0.114645  	170.000000	3.75358e-05	
175.000000	0.11061   	175.000000	0.112531  	175.000000	0.111446  	175.000000	0.110635  	175.000000	0.112495  	175.000000	3.65539e-05	
180.000000	0.108661  	180.000000	0.110495  	180.000000	0.109425  	180.000000	0.108615  	180.000000	0.110459  	180.000000	3.56241e-05	
185.000000	0.10681   	185.000000	0.108564  	185.000000	0.107509  	185.000000	0.106699  	185.000000	0.108529  	185.000000	3.47422e-05	
190.000000	0.10505   	190.000000	0.106731  	190.000000	0.105689  	190.000000	0.10488   	190.000000	0.106697  	190.000000	3.39047e-05	
195.000000	0.103375  	195.000000	0.104988  	195.000000	0.103959  	195.000000	0.10315   	195.000000	0.104955  	195.000000	3.31081e-05	
200.000000	0.101778  	200.000000	0.103329  	200.000000	0.102312  	200.000000	0.101504  	200.000000	0.103297  	200.000000	3.23496e-05	
210.000000	0.0987986 	210.000000	0.100241  	210.000000	0.0992449 	210.000000	0.0984393 	210.000000	0.10021   	210.000000	3.09362e-05	
220.000000	0.0960733 	220.000000	0.0974231 	220.000000	0.0964473 	220.000000	0.095644  	220.000000	0.0973934 	220.000000	2.96455e-05	
230.000000	0.0935711 	230.000000	0.0948428 	230.000000	0.0938854 	230.000000	0.0930845 	230.000000	0.0948144 	230.000000	2.84623e-05	
240.000000	0.0912653 	240.000000	0.0924713 	240.000000	0.0915309 	240.000000	0.0907327 	240.000000	0.0924439 	240.000000	2.73733e-05	
250.000000	0.0891336 	250.000000	0.0902841 	250.000000	0.08936   	250.000000	0.0885644 	250.000000	0.0902577 	250.000000	2.63676e-05	
260.000000	0.0871569 	260.000000	0.0882608 	260.000000	0.0873523 	260.000000	0.0865594 	260.000000	0.0882354 	260.000000	2.54359e-05	
270.000000	0.0853189 	270.000000	0.0863839 	270.000000	0.0854904 	270.000000	0.0847002 	270.000000	0.0863593 	270.000000	2.45702e-05	
280.000000	0.0836055 	280.000000	0.084638  	280.000000	0.0837592 	280.000000	0.0829717 	280.000000	0.0846143 	280.000000	2.37637e-05	
290.000000	0.0820044 	290.000000	0.0830102 	290.000000	0.0821453 	290.000000	0.0813609 	290.000000	0.0829872 	290.000000	2.30104e-05	
300.000000	0.080505  	300.000000	0.081489  	300.000000	0.0806393 	300.000000	0.0798565 	300.000000	0.0814667 	300.000000	2.23052e-05	
310.000000	0.079098  	310.000000	0.0800644 	310.000000	0.0792269 	310.000000	0.0784484 	310.000000	0.0800428 	310.000000	2.16435e-05	
320.000000	0.0777752 	320.000000	0.0787277 	320.000000	0.0778967 	320.000000	0.0771281 	320.000000	0.0787066 	320.000000	2.10213e-05	
330.000000	0.0765292 	330.000000	0.0774711 	330.000000	0.0766512 	330.000000	0.0758876 	330.000000	0.0774506 	330.000000	2.04353e-05	
