! 12C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
27.000000	1379.02   	27.000000	1351.43   	27.000000	1363.84   	27.000000	1360.78   	27.000000	1363.52   	27.000000	9.633     	27.000000	5.35816   	27.000000	15.3035   	27.000000	14.9565   	27.000000	14.8793   	
29.000000	1563.7    	29.000000	1532.18   	29.000000	1548.86   	29.000000	1545.25   	29.000000	1548.5    	29.000000	10.9944   	29.000000	6.05634   	29.000000	17.3008   	29.000000	16.8029   	29.000000	16.8392   	
31.000000	1758.64   	31.000000	1723.17   	31.000000	1744.84   	31.000000	1740.72   	31.000000	1744.46   	31.000000	12.442    	31.000000	6.79326   	31.000000	19.4164   	31.000000	18.7489   	31.000000	18.9173   	
33.000000	1963.68   	33.000000	1924.27   	33.000000	1951.1    	33.000000	1946.51   	33.000000	1950.69   	33.000000	13.962    	33.000000	7.56207   	33.000000	21.6413   	33.000000	20.7864   	33.000000	21.1049   	
35.000000	2178.69   	35.000000	2135.35   	35.000000	2167.38   	35.000000	2162.39   	35.000000	2166.94   	35.000000	15.5519   	35.000000	8.36103   	35.000000	23.9726   	35.000000	22.9127   	35.000000	23.3992   	
38.000000	2519.54   	38.000000	2470.38   	38.000000	2510.29   	38.000000	2504.84   	38.000000	2509.82   	38.000000	18.0666   	38.000000	9.61539   	38.000000	27.6656   	38.000000	26.265    	38.000000	27.038    	
41.000000	2882.03   	41.000000	2827.15   	41.000000	2875      	41.000000	2869.23   	41.000000	2874.52   	41.000000	20.7352   	41.000000	10.9365   	41.000000	31.5891   	41.000000	29.8082   	41.000000	30.9092   	
44.000000	3265.7    	44.000000	3205.27   	44.000000	3261.11   	44.000000	3255.18   	44.000000	3260.62   	44.000000	23.5553   	44.000000	12.3228   	44.000000	35.7383   	44.000000	33.5375   	44.000000	35.0085   	
47.000000	3670.18   	47.000000	3604.38   	47.000000	3668.25   	47.000000	3662.29   	47.000000	3667.74   	47.000000	26.5239   	47.000000	13.7737   	47.000000	40.1083   	47.000000	37.4488   	47.000000	39.3319   	
50.000000	4095.09   	50.000000	4024.1    	50.000000	4096.01   	50.000000	4090.19   	50.000000	4095.53   	50.000000	29.6384   	50.000000	15.287    	50.000000	44.6949   	50.000000	41.5379   	50.000000	43.8756   	
